,Log. Reg,XGBoost,Random Forest
1,0.917,0.9332,0.9322
2,0.9077,0.9235,0.9268
3,0.9004,0.9196,0.9143
4,0.9236,0.9321,0.9314
5,0.9098,0.928,0.9301
6,0.9151,0.919,0.9172
7,0.92,0.9335,0.9343
8,0.9168,0.9187,0.9209
9,0.9097,0.9331,0.9338
10,0.9104,0.914,0.9147
11,0.9193,0.9339,0.9328
12,0.8941,0.9149,0.9137
13,0.9118,0.9258,0.9293
14,0.918,0.9327,0.9346
15,0.9053,0.9144,0.9143
16,0.9015,0.9266,0.9271
17,0.9097,0.922,0.9222
18,0.8993,0.9291,0.9296
19,0.9058,0.9183,0.9209
20,0.9097,0.9272,0.9287
21,0.917,0.9332,0.9322
22,0.9077,0.9235,0.9268
23,0.9004,0.9196,0.9143
24,0.9236,0.9321,0.9314
25,0.9098,0.928,0.9301
26,0.9151,0.919,0.9172
27,0.917,0.9332,0.9331
28,0.9077,0.9235,0.9267
29,0.9004,0.9196,0.9143
30,0.9236,0.9321,0.9337
31,0.9098,0.928,0.9298
32,0.9151,0.919,0.9162
33,0.92,0.9335,0.9325
34,0.9168,0.9187,0.9204
35,0.9097,0.9331,0.9315
36,0.9104,0.914,0.9147
37,0.9193,0.9339,0.9357
38,0.8941,0.9149,0.9165
39,0.9118,0.9258,0.9282
40,0.918,0.9327,0.9338
41,0.9053,0.9144,0.9143
42,0.9015,0.9266,0.9255
43,0.9097,0.922,0.9231
44,0.8993,0.9291,0.9273
45,0.9058,0.9183,0.9201
46,0.9097,0.9272,0.9279
47,0.9154,0.9252,0.9242
48,0.9046,0.9249,0.9257
49,0.9028,0.9134,0.916
50,0.9135,0.9289,0.9281
51,0.9117,0.9175,0.9209
52,0.914,0.9324,0.9337
53,0.915,0.9292,0.9298
54,0.9123,0.9236,0.9201
55,0.908,0.9193,0.92
56,0.8974,0.92,0.9183
57,0.917,0.9332,0.9305
58,0.9077,0.9235,0.9278
59,0.9004,0.9196,0.9167
60,0.9236,0.9321,0.9329
61,0.9098,0.928,0.9295
62,0.9151,0.919,0.9173
63,0.92,0.9335,0.9343
64,0.9168,0.9187,0.9195
65,0.9097,0.9331,0.9339
66,0.9104,0.914,0.9138
67,0.9193,0.9339,0.9328
68,0.8941,0.9149,0.9137
69,0.9118,0.9258,0.9293
70,0.918,0.9327,0.9353
71,0.9053,0.9144,0.9143
72,0.9015,0.9266,0.929
73,0.9097,0.922,0.9222
74,0.8993,0.9291,0.928
75,0.9058,0.9183,0.921
76,0.9097,0.9272,0.928
77,0.9154,0.9252,0.9243
78,0.9046,0.9249,0.9287
79,0.9028,0.9134,0.917
80,0.9135,0.9289,0.9281
81,0.9117,0.9175,0.9186
82,0.914,0.9324,0.9331
83,0.915,0.9292,0.9289
84,0.9123,0.9236,0.9224
85,0.908,0.9193,0.9191
86,0.8974,0.92,0.9192
87,0.9111,0.9273,0.9272
88,0.9055,0.9235,0.9231
89,0.9127,0.9188,0.916
90,0.9147,0.9322,0.9331
91,0.913,0.9218,0.9182
92,0.9128,0.9308,0.927
93,0.9023,0.915,0.915
94,0.9206,0.934,0.9274
95,0.9016,0.9196,0.9205
96,0.9089,0.9274,0.9179
97,0.9145,0.9296,0.9293
98,0.9094,0.9257,0.9221
99,0.9098,0.9248,0.9193
100,0.8938,0.9154,0.9155
101,0.931,0.9363,0.9345
102,0.924,0.9317,0.9325
103,0.8994,0.9257,0.9272
104,0.9002,0.9126,0.9129
105,0.9038,0.9227,0.9233
106,0.9218,0.9301,0.9333
